Ol Chiki,Devanagari,English Meaning,Latin
ᱢᱟᱢᱤ,ममी,Maternal Aunty,mami
ᱦᱤᱞᱤ,हिलि,Wife of Elder Brother,hili
ᱜᱟᱛᱤ,गाती,friend,gati
ᱠᱟᱧᱛᱚᱰ,कंठड़,jackfruit,kanṭhaṛ
᱔᱑,बर हिसि मियद,Forty-one,bar hisi miyad
᱔᱒,बर हिसि बरिया,Forty-two,bar hisi bariya
᱔᱓,बर हिसि अपिया,Forty-three,bar hisi apiya
᱔᱔,बर हिसि उपना,Forty-four,bar hisi upna
᱔᱕,बर हिसि मोड़ेया,Forty-five,bar hisi modeya
᱔᱖,बर हिसि तुरिया,Forty-six,bar hisi turiya
᱔᱗,बर हिसि एया,Forty-seven,bar hisi eya
᱔᱘,बर हिसि एरलिया,Forty-eight,bar hisi erliya
᱔᱙,बर हिसि अरिया ,Forty-nine,bar hisi ariya
᱕᱐,बर हिसि गेलेया,Fifty,bar hisi geleya
ᱢᱟᱫᱩᱠᱟᱢ,महुआ,Mahua,madukam 
᱕᱑,बर हिसि गेल मियद,Fifty-One,bar hisi gel miyad
᱕᱒,बर हिसि गेल बरिया,Fifty-two,bar hisi gel bariya
᱕᱓,बर हिसि गेल अपिया,Fifty-three,bar hisi gel apiya
᱕᱔,बर हिसि गेल उपना,Fifty-four,bar hisi gel upna
᱕᱕,बर हिसि गेल मोड़ेया,Fifty-five,bar hisi gel modeya
᱕᱖,बर हिसि गेल तुरिया,Fifty-six,bar hisi gel turiya
᱕᱗,बर हिसि गेल एया,Fifty-seven,bar hisi gel eya
᱕᱘,बर हिसि गेल एरलिया,Fifty-Eight,bar hisi gel erliya
᱕᱙,बर हिसि गेल अरिया,Fifty-nine,bar hisi gel ariya
᱖᱐,अपि हिसि,sixty,api hisi
᱖᱑,अपि हिसि मियद,sixty-one,api hisi miyad
᱖᱒,अपि हिसि बरिया,sixty-two,api hisi bariya
᱖᱓,अपि हिसि अपिया,sixty-three,api hisi apiya
᱖᱔,अपि हिसि उपना,sixty-four,api hisi upna
᱖᱕,अपि हिसि मोड़ेया,sixty-five,api hisi modeya
᱖᱖,अपि हिसि तुरिया,sixty-six,api hisi turiya
᱖᱗,अपि हिसि एया,sixty-seven,api hisi eya
