input,target
Eya,᱕
Eya,एया
᱕,Seven
Iriliya,Eight
इरिलिया,᱘
Iriliya,᱘
Iriliya,इरिलिया
᱘,Eight
Areya,Nine
अरेया,᱙
Areya,᱙
Areya,अरेया
᱙,Nine
Geleya,Ten
गेलेया,᱑᱐
Geleya,᱑᱐
Geleya,गेलेया
᱑᱐,Ten
Gel Miyad,Eleven
गेल मियाद,᱑᱑
Gel Miyad,᱑᱑
Gel Miyad,गेल मियाद
᱑᱑,Eleven
gel Bariya,Twelve
गेल बरिया,᱑᱒
gel Bariya,᱑᱒
gel Bariya,गेल बरिया
᱑᱒,Twelve
Gel Apiya,Thirteen
गेल अपिया,᱑᱓
Gel Apiya,᱑᱓
Gel Apiya,गेल अपिया
᱑᱓,Thirteen
Gel Upuna,Fourteen
गेल उपुना,᱑᱔
Gel Upuna,᱑᱔
Gel Upuna,गेल उपुना
᱑᱔,Fourteen
Gel modeya,Fifteen
गेल मोडेया,᱑᱕
Gel modeya,᱑᱕
Gel modeya,गेल मोडेया
᱑᱕,Fifteen
Gel Turiya,Sixteen
गेल तुरिया,᱑᱖
Gel Turiya,᱑᱖
Gel Turiya,गेल तुरिया
᱑᱖,Sixteen
Gel Eya,Seventeen
गेल एया,᱑᱗
Gel Eya,᱑᱗
Gel Eya,गेल एया
᱑᱗,Seventeen
Gel Iriliya,Eighthteen
गेल इरिलिया,᱑᱘
Gel Iriliya,᱑᱘
Gel Iriliya,गेल इरिलिया
᱑᱘,Eighthteen
Gel Areya,Nineteen
गेल अरेया	,᱑᱙
Gel Areya,᱑᱙
Gel Areya,गेल अरेया	
᱑᱙,Nineteen
Hisi,Twenty
हिसि,᱒᱐
Hisi,᱒᱐
Hisi,हिसि
᱒᱐,Twenty
Hisi Miyad,Twenty one
हिसी मियाद,᱃᱑
Hisi Miyad,᱃᱑
Hisi Miyad,हिसी मियाद
᱃᱑,Twenty one
Hisi Bariya,Twenty two
हिसी बरिया,᱃᱒
Hisi Bariya,᱃᱒
Hisi Bariya,हिसी बरिया
᱃᱒,Twenty two
Hisi Apiya,Twenty three
हिसी अपिया,᱃᱓
Hisi Apiya,᱃᱓
Hisi Apiya,हिसी अपिया
᱃᱓,Twenty three
Hisi Upuna,Twenty four
हिसी उपुना,᱃᱔
Hisi Upuna,᱃᱔
Hisi Upuna,हिसी उपुना
᱃᱔,Twenty four
Hisi Modeya,Twenty Five
हिसी मोडेया,᱃᱕
Hisi Modeya,᱃᱕
Hisi Modeya,हिसी मोडेया
᱃᱕,Twenty Five
Hisi turiya,Twenty six
हिसी तुरिया,᱃᱖
Hisi turiya,᱃᱖
Hisi turiya,हिसी तुरिया
᱃᱖,Twenty six
Hisi Eya,Twenty Seven
हिसी एया,᱃᱗
Hisi Eya,᱃᱗
Hisi Eya,हिसी एया
᱃᱗,Twenty Seven
Hisi Iriliya,Twenty Eight
हिसी इरिलिया,᱃᱘
Hisi Iriliya,᱃᱘
Hisi Iriliya,हिसी इरिलिया
᱃᱘,Twenty Eight
Hisi Areya,Twenty Nine
हिसी अरेया,᱃᱙
Hisi Areya,᱃᱙
Hisi Areya,हिसी अरेया
᱃᱙,Twenty Nine
mid hisi geleya,Thirty
मिद हिसी गेलेया, ᱣ ᱑ ᱐ 
mid hisi geleya, ᱣ ᱑ ᱐ 
mid hisi geleya,मिद हिसी गेलेया
 ᱣ ᱑ ᱐ ,Thirty
Koɖa,Boy
कोड़ा,ᱠᱚᱰᱟ
Koɖa,ᱠᱚᱰᱟ
Koɖa,कोड़ा
ᱠᱚᱰᱟ,Boy
Kuɖi,Girl
कुड़ी,ᱠᱩᱰᱤ
Kuɖi,ᱠᱩᱰᱤ
Kuɖi,कुड़ी
ᱠᱩᱰᱤ,Girl
Haɖam,Old man
हड़ाम,ᱦᱟᱰᱟᱢ
Haɖam,ᱦᱟᱰᱟᱢ
Haɖam,हड़ाम
ᱦᱟᱰᱟᱢ,Old man
Dhangda,Young Man
धांगड़ा,ᱫᱚᱝᱰᱟ
Dhangda,ᱫᱚᱝᱰᱟ
Dhangda,धांगड़ा
ᱫᱚᱝᱰᱟ,Young Man
Dhangdi,Young women
धांगड़ी,ᱫᱚᱝᱰᱤ
Dhangdi,ᱫᱚᱝᱰᱤ
Dhangdi,धांगड़ी
ᱫᱚᱝᱰᱤ,Young women
Hodo,Male
होड़ो,ᱦᱚᱰᱚ
Hodo,ᱦᱚᱰᱚ
Hodo,होड़ो
ᱦᱚᱰᱚ,Male
Hoɖo ko,People
होड़ो को,ᱦᱚᱰᱚ ᱠᱚ
Hoɖo ko,ᱦᱚᱰᱚ ᱠᱚ
Hoɖo ko,होड़ो को
ᱦᱚᱰᱚ ᱠᱚ,People
Daa,Water
दआ:,ᱫᱟᱹᱞ
Daa,ᱫᱟᱹᱞ
Daa,दआ:
ᱫᱟᱹᱞ,Water
Diri,Rock
दिरी, ᱰᱤᱨᱤ 
Diri, ᱰᱤᱨᱤ 
Diri,दिरी
 ᱰᱤᱨᱤ ,Rock
Buru,Mountain
बुरू,ᱵᱩᱨᱩ
Buru,ᱵᱩᱨᱩ
Buru,बुरू
ᱵᱩᱨᱩ,Mountain
Hora,Road
होरा,ᱦᱚᱨᱟ
Hora,ᱦᱚᱨᱟ
Hora,होरा
ᱦᱚᱨᱟ,Road
Rabang,cold
रबंग,ᱨᱵᱟᱝ
Rabang,ᱨᱵᱟᱝ
Rabang,रबंग
ᱨᱵᱟᱝ,cold
ramal,light
रमल,ᱨᱟᱢᱟᱞ
ramal,ᱨᱟᱢᱟᱞ
ramal,रमल
ᱨᱟᱢᱟᱞ,light
Hatu,Village
हातू,ᱦᱟᱛᱩ
Hatu,ᱦᱟᱛᱩ
Hatu,हातू
ᱦᱟᱛᱩ,Village
Khiːs,Angry
खीस,ᱠᱷᱤᱥ
Khiːs,ᱠᱷᱤᱥ
Khiːs,खीस
ᱠᱷᱤᱥ,Angry
Dulaɖ,Love
दुलाड़,ᱰᱩᱞᱟᱰ
Dulaɖ,ᱰᱩᱞᱟᱰ
Dulaɖ,दुलाड़
ᱰᱩᱞᱟᱰ,Love
Hasu,Pain
हासू,ᱦᱟᱥᱩ
Hasu,ᱦᱟᱥᱩ
Hasu,हासू
ᱦᱟᱥᱩ,Pain
Raa,Cry
रआ:,ᱨᱟᱹᱞ
Raa,ᱨᱟᱹᱞ
Raa,रआ:
ᱨᱟᱹᱞ,Cry
Landa,Laughter
लांदा,ᱞᱟᱝᱰᱟ
Landa,ᱞᱟᱝᱰᱟ
Landa,लांदा
ᱞᱟᱝᱰᱟ,Laughter
Duku,sorrow
दुकु,ᱞᱟᱝᱰᱟ
Duku,ᱞᱟᱝᱰᱟ
Duku,दुकु
ᱞᱟᱝᱰᱟ,sorrow
Daru,Tree
दारू,ᱫᱟᱨᱩ
Daru,ᱫᱟᱨᱩ
Daru,दारू
ᱫᱟᱨᱩ,Tree
mid hisi geleya,Thirty
मिद हिसी गेलेया,ᱢᱤᱰ ᱦᱤᱥᱤ ᱜᱮᱞᱮᱭᱟ
mid hisi geleya,ᱢᱤᱰ ᱦᱤᱥᱤ ᱜᱮᱞᱮᱭᱟ
mid hisi geleya,मिद हिसी गेलेया
ᱢᱤᱰ ᱦᱤᱥᱤ ᱜᱮᱞᱮᱭᱟ,Thirty
Neya,It
नेया,ᱱᱮᱭᱟ
Neya,ᱱᱮᱭᱟ
Neya,नेया
ᱱᱮᱭᱟ,It
Am / Ape,You
आम / आपे,ᱟᱢ / ᱟᱯᱮ
Am / Ape,ᱟᱢ / ᱟᱯᱮ
Am / Ape,आम / आपे
ᱟᱢ / ᱟᱯᱮ,You
Hani,She
हानि,ᱦᱟᱱᱤ
Hani,ᱦᱟᱱᱤ
Hani,हानि
ᱦᱟᱱᱤ,She
Aing,I
आइंग,ᱟᱤᱝ
Aing,ᱟᱤᱝ
Aing,आइंग
ᱟᱤᱝ,I
Hijum,Come
हिजुम, ᱦᱤᱡᱩᱢ
Hijum, ᱦᱤᱡᱩᱢ
Hijum,हिजुम
 ᱦᱤᱡᱩᱢ,Come
Hijupe / Hijugam / Hijutanape,Came 
  हिजुपे / हिजुगम / हिजुतानापे,ᱦᱤᱡᱩᱯᱮ / ᱦᱤᱡᱩᱜᱟᱢ /ᱦᱤᱡᱩᱛᱟᱱᱟᱯᱮ
Hijupe / Hijugam / Hijutanape,ᱦᱤᱡᱩᱯᱮ / ᱦᱤᱡᱩᱜᱟᱢ /ᱦᱤᱡᱩᱛᱟᱱᱟᱯᱮ
Hijupe / Hijugam / Hijutanape,  हिजुपे / हिजुगम / हिजुतानापे
ᱦᱤᱡᱩᱯᱮ / ᱦᱤᱡᱩᱜᱟᱢ /ᱦᱤᱡᱩᱛᱟᱱᱟᱯᱮ,Came 
Hijuvay / Hijugay / Hijuoale,Will come
हिजुवाय / हिजुगाय / हिजुओअले,ᱦᱤᱡᱩᱣᱟᱭ /ᱦᱤᱡᱩᱜᱟᱭ / ᱦᱤᱡᱩᱳᱟᱞᱮ
Hijuvay / Hijugay / Hijuoale,ᱦᱤᱡᱩᱣᱟᱭ /ᱦᱤᱡᱩᱜᱟᱭ / ᱦᱤᱡᱩᱳᱟᱞᱮ
Hijuvay / Hijugay / Hijuoale,हिजुवाय / हिजुगाय / हिजुओअले
ᱦᱤᱡᱩᱣᱟᱭ /ᱦᱤᱡᱩᱜᱟᱭ / ᱦᱤᱡᱩᱳᱟᱞᱮ,Will come
 Kholaype ,Open
खोलायपे,ᱠᱷᱚᱞᱟᱭᱯᱮ
 Kholaype ,ᱠᱷᱚᱞᱟᱭᱯᱮ
 Kholaype ,खोलायपे
ᱠᱷᱚᱞᱟᱭᱯᱮ,Open
Kholo / Kholaoyam / Kholayem,Opened
खोलो / खोलाओयम/ खोलायेम,Kholo / Kholaoyam / Kholayem
Kholo / Kholaoyam / Kholayem,Kholo / Kholaoyam / Kholayem
Kholo / Kholaoyam / Kholayem,खोलो / खोलाओयम/ खोलायेम
Kholo / Kholaoyam / Kholayem,Opened
Kholaoyay,Will open
खोलाओयाय,ᱠᱷᱚᱞᱟᱳᱭᱟᱭ
Kholaoyay,ᱠᱷᱚᱞᱟᱳᱭᱟᱭ
Kholaoyay,खोलाओयाय
ᱠᱷᱚᱞᱟᱳᱭᱟᱭ,Will open
Dubme,Sit
दुबमे ,ᱫᱩᱵᱢᱮ
Dubme,ᱫᱩᱵᱢᱮ
Dubme,दुबमे 
ᱫᱩᱵᱢᱮ,Sit
senem,walk
सेनेम,ᱥᱮᱱᱮᱢ
senem,ᱥᱮᱱᱮᱢ
senem,सेनेम
ᱥᱮᱱᱮᱢ,walk
Jomem,eat
जोमे़म,ᱡᱚᱢᱮᱢ
Jomem,ᱡᱚᱢᱮᱢ
Jomem,जोमे़म
ᱡᱚᱢᱮᱢ,eat
Nuim,drink
नुइम,ᱱᱩᱤᱢ
Nuim,ᱱᱩᱤᱢ
Nuim,नुइम
ᱱᱩᱤᱢ,drink
Senom,Go
सेनोम ,ᱥᱮᱱᱚᱢ
Senom,ᱥᱮᱱᱚᱢ
Senom,सेनोम 
ᱥᱮᱱᱚᱢ,Go
Nerem,Run
नीरेम,ᱱᱮᱨᱮᱢ
Nerem,ᱱᱮᱨᱮᱢ
Nerem,नीरेम
ᱱᱮᱨᱮᱢ,Run
Hini sev jom keday.,He ate an apple.
हिनी सेव जोम केदय।, ᱦᱤᱱᱤ ᱥᱮᱣ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।
Hini sev jom keday., ᱦᱤᱱᱤ ᱥᱮᱣ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।
Hini sev jom keday.,हिनी सेव जोम केदय।
 ᱦᱤᱱᱤ ᱥᱮᱣ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।,He ate an apple.
Aing sida saptah filam lel kedayang.,I saw the film last week.
आईंग सिदा सप्ताह फिलम लेल केदायंग।,ᱟᱭᱝ ᱥᱤᱰᱟ ᱥᱟᱯᱛᱟᱦ ᱯᱤᱞᱟᱢ ᱞᱮᱞ ᱠᱮᱰᱟᱭᱝ।
Aing sida saptah filam lel kedayang.,ᱟᱭᱝ ᱥᱤᱰᱟ ᱥᱟᱯᱛᱟᱦ ᱯᱤᱞᱟᱢ ᱞᱮᱞ ᱠᱮᱰᱟᱭᱝ।
Aing sida saptah filam lel kedayang.,आईंग सिदा सप्ताह फिलम लेल केदायंग।
ᱟᱭᱝ ᱥᱤᱰᱟ ᱥᱟᱯᱛᱟᱦ ᱯᱤᱞᱟᱢ ᱞᱮᱞ ᱠᱮᱰᱟᱭᱝ।,I saw the film last week.
Hani hola bas te hijuynaay.,She came by bus yesterday.
हनि होला बस ते हिजुइनाय।,ᱦᱟᱱᱤ ᱦᱚᱞᱟ ᱵᱟᱥ ᱛᱮ ᱦᱤᱡᱩᱭᱱᱟᱭ।
Hani hola bas te hijuynaay.,ᱦᱟᱱᱤ ᱦᱚᱞᱟ ᱵᱟᱥ ᱛᱮ ᱦᱤᱡᱩᱭᱱᱟᱭ।
Hani hola bas te hijuynaay.,हनि होला बस ते हिजुइनाय।
ᱦᱟᱱᱤ ᱦᱚᱞᱟ ᱵᱟᱥ ᱛᱮ ᱦᱤᱡᱩᱭᱱᱟᱭ।,She came by bus yesterday.
Hini hatu seno jante.,They went to the village.
हिनी हातु सेनो जान्ते।,ᱦᱤᱱᱤ ᱦᱟᱛᱩ ᱥᱮᱱᱚ ᱡᱟᱱᱛᱮ।
Hini hatu seno jante.,ᱦᱤᱱᱤ ᱦᱟᱛᱩ ᱥᱮᱱᱚ ᱡᱟᱱᱛᱮ।
Hini hatu seno jante.,हिनी हातु सेनो जान्ते।
ᱦᱤᱱᱤ ᱦᱟᱛᱩ ᱥᱮᱱᱚ ᱡᱟᱱᱛᱮ।,They went to the village.
Hini gota nida gitij kanay.,He slept the whole night.
हिनी गोटा निदा गितिज कनाय।,ᱦᱤᱱᱤ ᱜᱚᱴᱟ ᱱᱤᱰᱟ ᱜᱤᱴᱤᱡ ᱠᱟᱱᱟᱭ।
Hini gota nida gitij kanay.,ᱦᱤᱱᱤ ᱜᱚᱴᱟ ᱱᱤᱰᱟ ᱜᱤᱴᱤᱡ ᱠᱟᱱᱟᱭ।
Hini gota nida gitij kanay.,हिनी गोटा निदा गितिज कनाय।
ᱦᱤᱱᱤ ᱜᱚᱴᱟ ᱱᱤᱰᱟ ᱜᱤᱴᱤᱡ ᱠᱟᱱᱟᱭ।,He slept the whole night.
Hani pariksha maza oll lay.,He wrote well in the examination.
 हानी परीक्षा मज़ा ओल लाय।,ᱦᱟᱱᱤ ᱯᱟᱨᱤᱠᱥᱷᱟ ᱢᱟᱡᱟ ᱚᱞ ᱞᱟᱭ।
Hani pariksha maza oll lay.,ᱦᱟᱱᱤ ᱯᱟᱨᱤᱠᱥᱷᱟ ᱢᱟᱡᱟ ᱚᱞ ᱞᱟᱭ।
Hani pariksha maza oll lay., हानी परीक्षा मज़ा ओल लाय।
ᱦᱟᱱᱤ ᱯᱟᱨᱤᱠᱥᱷᱟ ᱢᱟᱡᱟ ᱚᱞ ᱞᱟᱭ।,He wrote well in the examination.
Hini jom keday.,He has eaten.
हिनी जोम केदय।,ᱦᱤᱱᱤ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।
Hini jom keday.,ᱦᱤᱱᱤ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।
Hini jom keday.,हिनी जोम केदय।
ᱦᱤᱱᱤ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।,He has eaten.
Hini sedagi jom lay.,He had eaten.
 हिनी सेदागि जोम लै, ᱦᱤᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱡᱚᱢ ᱞᱮ
Hini sedagi jom lay., ᱦᱤᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱡᱚᱢ ᱞᱮ
Hini sedagi jom lay., हिनी सेदागि जोम लै
 ᱦᱤᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱡᱚᱢ ᱞᱮ,He had eaten.
Hani sedagi seno lenay.,He had gone.
हनि सेदागि सेनो लेनाय।,ᱦᱟᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱥᱮᱱᱚ ᱞᱮᱱᱟᱭ।
Hani sedagi seno lenay.,ᱦᱟᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱥᱮᱱᱚ ᱞᱮᱱᱟᱭ।
Hani sedagi seno lenay.,हनि सेदागि सेनो लेनाय।
ᱦᱟᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱥᱮᱱᱚ ᱞᱮᱱᱟᱭ।,He had gone.
Hani hejulenay.,He had come.
हनि हेजुलेनाय।,ᱦᱟᱱᱤ ᱦᱮᱡᱩᱞᱮᱱᱟᱭ।
Hani hejulenay.,ᱦᱟᱱᱤ ᱦᱮᱡᱩᱞᱮᱱᱟᱭ।
Hani hejulenay.,हनि हेजुलेनाय।
ᱦᱟᱱᱤ ᱦᱮᱡᱩᱞᱮᱱᱟᱭ।,He had come.
Hani jomeyay.,He will eat.
हनि जोमेयाय।,ᱦᱟᱱᱤ ᱡᱚᱢᱮᱭᱟᱭ।
Hani jomeyay.,ᱦᱟᱱᱤ ᱡᱚᱢᱮᱭᱟᱭ।
Hani jomeyay.,हनि जोमेयाय।
ᱦᱟᱱᱤ ᱡᱚᱢᱮᱭᱟᱭ।,He will eat.
Hani senogay.,He will go.
हानी सेनोगाय।,ᱦᱟᱱᱤ ᱥᱮᱱᱚᱜᱟᱭ।
Hani senogay.,ᱦᱟᱱᱤ ᱥᱮᱱᱚᱜᱟᱭ।
Hani senogay.,हानी सेनोगाय।
ᱦᱟᱱᱤ ᱥᱮᱱᱚᱜᱟᱭ।,He will go.
Hani hejugay.,He will come.
हानी हेजुगाय।,ᱦᱟᱱᱤ ᱦᱮᱡᱩᱜᱟᱭ।
Hani hejugay.,ᱦᱟᱱᱤ ᱦᱮᱡᱩᱜᱟᱭ।
Hani hejugay.,हानी हेजुगाय।
ᱦᱟᱱᱤ ᱦᱮᱡᱩᱜᱟᱭ।,He will come.
Ama chikan nutum?,What is your name?
अम चिकन नुतुम?,ᱟᱢᱟ ᱪᱤᱠᱟᱱ ᱱᱩᱛᱩᱢ?
Ama chikan nutum?,ᱟᱢᱟ ᱪᱤᱠᱟᱱ ᱱᱩᱛᱩᱢ?
Ama chikan nutum?,अम चिकन नुतुम?
ᱟᱢᱟ ᱪᱤᱠᱟᱱ ᱱᱩᱛᱩᱢ?,What is your name?
Am chika kedam?,What did you do?
अम चिक क़ेदम?,ᱟᱢ ᱪᱤᱠᱟ ᱠᱮᱰᱟᱢ?
Am chika kedam?,ᱟᱢ ᱪᱤᱠᱟ ᱠᱮᱰᱟᱢ?
Am chika kedam?,अम चिक क़ेदम?
ᱟᱢ ᱪᱤᱠᱟ ᱠᱮᱰᱟᱢ?,What did you do?
Aing chika yang?,What should I do?
आईंग चिक यांग?,ᱟᱭᱝ ᱪᱤᱠᱟ ᱭᱟᱝ?
Aing chika yang?,ᱟᱭᱝ ᱪᱤᱠᱟ ᱭᱟᱝ?
Aing chika yang?,आईंग चिक यांग?
ᱟᱭᱝ ᱪᱤᱠᱟ ᱭᱟᱝ?,What should I do?
Aing chika dadiyan?,What can I do?
आईंग चिक दादियान?,ᱟᱭᱝ ᱪᱤᱠ ᱰᱟᱰᱤᱭᱟᱱ?
Aing chika dadiyan?,ᱟᱭᱝ ᱪᱤᱠ ᱰᱟᱰᱤᱭᱟᱱ?
Aing chika dadiyan?,आईंग चिक दादियान?
ᱟᱭᱝ ᱪᱤᱠ ᱰᱟᱰᱤᱭᱟᱱ?,What can I do?
What are the questions?,What are the questions?
चिकना सवाल तना?,ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱛᱟᱱᱟ?
What are the questions?,ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱛᱟᱱᱟ?
What are the questions?,चिकना सवाल तना?
ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱛᱟᱱᱟ?,What are the questions?
Chikna saval tainkena?,What were the questions?
चिकना सवाल तेंकेना?,ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱴᱮᱱᱠᱮᱱᱟ?
Chikna saval tainkena?,ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱴᱮᱱᱠᱮᱱᱟ?
Chikna saval tainkena?,चिकना सवाल तेंकेना?
ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱴᱮᱱᱠᱮᱱᱟ?,What were the questions?
Akri saval chikna tana?,What is the last question?
आख़री सवाल चिकना तना?,ᱟᱠᱨᱤ ᱥᱟᱵᱟᱞ ᱪᱤᱠᱱᱟ ᱛᱟᱱᱟ?
Akri saval chikna tana?,ᱟᱠᱨᱤ ᱥᱟᱵᱟᱞ ᱪᱤᱠᱱᱟ ᱛᱟᱱᱟ?
Akri saval chikna tana?,आख़री सवाल चिकना तना?
ᱟᱠᱨᱤ ᱥᱟᱵᱟᱞ ᱪᱤᱠᱱᱟ ᱛᱟᱱᱟ?,What is the last question?
Chitti re chikna ola kana?,What is written in the letter?
चिट्ठी रे चिकना ओला क़नाय?,ᱪᱤᱴᱤ ᱨᱮ ᱪᱤᱠᱱᱟ ᱚᱞᱟ ᱠᱟᱱᱟᱭ?
Chitti re chikna ola kana?,ᱪᱤᱴᱤ ᱨᱮ ᱪᱤᱠᱱᱟ ᱚᱞᱟ ᱠᱟᱱᱟᱭ?
Chitti re chikna ola kana?,चिट्ठी रे चिकना ओला क़नाय?
ᱪᱤᱴᱤ ᱨᱮ ᱪᱤᱠᱱᱟ ᱚᱞᱟ ᱠᱟᱱᱟᱭ?,What is written in the letter?
Amke chikna kaji lena?,What you had been told?
अमके चिकना क़ाजी लेनाय?,ᱟᱢᱠᱮ ᱪᱤᱠᱱᱟ ᱠᱟᱡᱤ ᱞᱮᱱᱟᱭ?
Amke chikna kaji lena?,ᱟᱢᱠᱮ ᱪᱤᱠᱱᱟ ᱠᱟᱡᱤ ᱞᱮᱱᱟᱭ?
Amke chikna kaji lena?,अमके चिकना क़ाजी लेनाय?
ᱟᱢᱠᱮ ᱪᱤᱠᱱᱟ ᱠᱟᱡᱤ ᱞᱮᱱᱟᱭ?,What you had been told?
Jabab chikna hobava?,What will be the answer?
 जवाब चिकना होबावा?,ᱡᱟᱵᱟᱵ ᱪᱤᱠᱱᱟ ᱦᱚᱵᱟᱣᱟ?
Jabab chikna hobava?,ᱡᱟᱵᱟᱵ ᱪᱤᱠᱱᱟ ᱦᱚᱵᱟᱣᱟ?
Jabab chikna hobava?, जवाब चिकना होबावा?
ᱡᱟᱵᱟᱵ ᱪᱤᱠᱱᱟ ᱦᱚᱵᱟᱣᱟ?,What will be the answer?
Am china line hiju janam?,Why did you come?
अम चिना लाईन हिजु जानाम?,ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱢ?
Am china line hiju janam?,ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱢ?
Am china line hiju janam?,अम चिना लाईन हिजु जानाम?
ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱢ?,Why did you come?
Am china line gitij janam?,Why did you sleep?
